@ NAME             %05s "TWISS"
@ TYPE             %05s "TWISS"
@ SEQUENCE         %06s "BTBTP1"
@ PARTICLE         %08s "POSITRON"
@ MASS             %le     0.00051
@ CHARGE           %le     1.00000
@ ENERGY           %le     1.00000
@ PC               %le     1.00000
@ GAMMA            %le  1956.95134
@ KBUNCH           %le     1.00000
@ BCURRENT         %le     0.00000
@ SIGE             %le     0.00000
@ SIGT             %le     0.00000
@ NPART            %le     0.00000
@ EX               %le     1.00000
@ EY               %le     1.00000
@ ET               %le     1.00000
@ LENGTH           %le    69.59200
@ ALFA             %le     0.00000
@ ORBIT5           %le     0.00000
@ GAMMATR          %le     0.00000
@ Q1               %le     1.39913
@ Q2               %le     0.78550
@ DQ1              %le     0.00000
@ DQ2              %le     0.00000
@ DXMAX            %le     2.37909
@ DYMAX            %le     1.50653
@ XCOMAX           %le     0.00000
@ YCOMAX           %le     0.72000
@ BETXMAX          %le    69.39853
@ BETYMAX          %le    82.38922
@ XCORMS           %le     0.00000
@ YCORMS           %le     0.15903
@ DXRMS            %le     1.12034
@ DYRMS            %le     0.63876
@ DELTAP           %le     0.00000
@ SYNCH_1          %le     0.00000
@ SYNCH_2          %le     0.00000
@ SYNCH_3          %le     0.00000
@ SYNCH_4          %le     0.00000
@ SYNCH_5          %le     0.00000
@ TITLE            %45s "Transferline BT/BTP optics. Protons - 1.4 GeV"
@ ORIGIN           %19s "MAD-X 4.01.30 Linux"
@ DATE             %08s "28/01/11"
@ TIME             %08s "15.40.45"
* NAME                        S          Y         PY       BETX       ALFX       BETY       ALFY 
$ %s                        %le        %le        %le        %le        %le        %le        %le 
 "DRIFT_38"            37.86175    0.00000   -0.00000    5.69371   -1.86388   28.13919   -0.08624
 "BTP_UES00"           38.31600    0.00000   -0.00000    7.54919   -2.22082   28.22492   -0.10250
 "DRIFT_39"            38.79125    0.00000   -0.00000    9.83756   -2.59427   28.33044   -0.11952
 "BTP_DHZ10"           39.35500    0.00000   -0.00000   13.01233   -3.03725   28.47658   -0.13970
 "DRIFT_40"            39.59500    0.00000   -0.00000   14.51547   -3.22584   28.54570   -0.14830
 "BTP_DVT10"           39.83500    0.00000   -0.00000   16.10914   -3.41443   28.61894   -0.15689
 "DRIFT_41"            40.35745    0.00000   -0.00000   19.89136   -3.82497   28.79264   -0.17559
 "BTP_Q10"             40.93190    0.00000   -0.00000   24.54517   -4.27636   29.00620   -0.19616
 "DRIFT_42"            42.93320    0.00000   -0.00000   44.80896   -5.84896   29.93474   -0.26781
 "BTP_Q20"             44.93450    0.00000    0.00000   69.39853    1.08648   32.03847   -4.19457
 "DRIFT_43"            45.26050    0.00000    0.00000   65.24125    9.16833   36.58355   -8.73381
 "BTP_DHZ20"           45.53450    0.00000    0.00000   60.31488    8.81111   41.52827   -9.31261
 "DRIFT_44"            45.82025    0.00000    0.00000   55.38579    8.43856   47.02291   -9.91623
 "BTP_UES10"           46.01750    0.00000    0.00000   52.10750    8.18139   51.01705  -10.33290
 "DRIFT_45"            46.38175    0.00000    0.00000   46.32034    7.70650   58.82484  -11.10234
 "BTP_DVT20"           46.83450    0.00000    0.00000   39.60934    7.11623   69.31101  -12.05874
 "DRIFT_43"            47.10850    0.00000    0.00000   35.80753    6.75900   76.07779  -12.63754
 "BTP_Q30"             47.43450    0.00000    0.00000   32.40323    2.70692   82.38922   -3.93815
 "DRIFT_46"            47.78675    0.00000   -0.00000   32.21842   -0.94333   80.77763    5.32545
 "BTP_VPI11"           47.90600    0.00000   -0.00000   32.44424   -0.95032   79.51268    5.28211
 "DRIFT_47"            48.57150    0.00000   -0.00000   33.73510   -0.98936   72.64317    5.04022
 "BTP_STP"             49.96550    0.00000   -0.00000   36.60743   -1.07113   59.29736    4.53354
 "DRIFT_48"            51.59775    0.00000   -0.00000   40.26041   -1.16688   45.46600    3.94026
 "BTP_Q40"             52.73450    0.00000   -0.00000   41.54273    4.93117   38.27505   -2.02395
 "DRIFT_49"            53.03550    0.00000    0.00000   36.52244   10.21933   41.65753   -8.04689
 "BTP_DHZ30"           53.28450    0.00000    0.00000   31.61220    9.50051   45.76275   -8.43991
 "DRIFT_50"            53.66500    0.00000    0.00000   24.80027    8.40206   52.41404   -9.04050
 "BTP_UES20"           53.86450    0.00000    0.00000   21.56275    7.82614   56.08402   -9.35539
 "DRIFT_51"            54.09650    0.00000    0.00000   18.08680    7.15639   60.50988   -9.72158
 "BTP_DVT30"           54.50950    0.00000    0.00000   12.66803    5.96412   68.80913  -10.37346
 "DRIFT_52"            54.84100    0.00000    0.00000    9.03107    5.00713   75.86019  -10.89670
 "BTP_Q50"             55.22450    0.00000   -0.00000    5.79830    3.18858   82.06520   -1.14576
 "DRIFT_53"            57.11350    0.00000   -0.00000    0.79941    0.09096   53.28576    7.29156
 "BTP_VPI12"           58.76950    0.00000   -0.00000    3.95697   -1.99770   31.92380    5.60818
 "DRIFT_54"            59.14280    0.00000   -0.00000    5.62422   -2.46853   27.87840    5.22870
 "BTP_TRA"             59.74050    0.00000   -0.00000    9.02569   -3.22240   21.99116    4.62112
 "DRIFT_55"            60.03820    0.00000   -0.00000   11.05608   -3.59788   19.32983    4.31850
