* NAME                             S            X           PX        DISP1        DISP2       ALFA11       BETA11          MU1            Y           PY        DISP3        DISP4       ALFA22       BETA22          MU2 
$ %s                             %le          %le          %le          %le          %le          %le          %le          %le          %le          %le          %le          %le          %le          %le          %le 
 "PR.BHS000047.C1"       13.80494327  -0.00000000  -0.00000000   5.11777165   0.12916040   0.08001630  23.44419805   0.12415404   0.00000000   0.00000000   0.01475428  -0.00274433  -0.02245146  14.21890034   0.11719441
 "PR.BHS000047.CORR1"    13.80494327  -0.00000000  -0.00000000   5.11777165   0.12916040   0.08001630  23.44419805   0.12415404   0.00000000   0.00000000   0.01475428  -0.00274433  -0.02245146  14.21890034   0.11719441
 "PR.BHS000047.MPFE1"    13.80494327  -0.00000000  -0.00000000   5.11777165   0.14187913   0.02175255  23.44419805   0.12415404   0.00000000   0.00000000   0.01475428  -0.00278100   0.01288549  14.21890034   0.11719441
 "PR.BHS000047.FEXFF1"   14.90306327  -0.00000000  -0.00000000   5.10032113  -0.17347325   1.42024843  21.82210395   0.13179267   0.00000000   0.00000000   0.01218972  -0.00191736  -1.02699012  15.30694713   0.12919265
 "PR.BHS000047.CORR2"    14.90306327  -0.00000000  -0.00000000   5.10032113  -0.17347325   1.42024843  21.82210395   0.13179267   0.00000000   0.00000000   0.01218972  -0.00191736  -1.02699012  15.30694713   0.12919265
 "PR.BHS000047.MPFM"     14.90306327  -0.00000000  -0.00000000   5.10032113  -0.17347325   1.42024843  21.82210395   0.13179267   0.00000000   0.00000000   0.01218972  -0.00191736  -1.02699012  15.30694713   0.12919265
 "PR.BHS000047.FEXFF2"   16.00118327  -0.00000000   0.00000000   4.74127879  -0.47657184   2.42453744  17.49713844   0.14063580   0.00000000   0.00000000   0.01049343  -0.00119028  -2.36468955  18.94592683   0.13958443
 "PR.BHS000047.MPFE2"    16.00118327  -0.00000000   0.00000000   4.74127879  -0.46478877   2.38105338  17.49713844   0.14063580   0.00000000   0.00000000   0.01049343  -0.00121636  -2.31760495  18.94592683   0.13958443
 "PR.BHS000047.J1"       16.00368327  -0.00000000   0.00000000   4.74011682  -0.46478877   2.38010045  17.48523555   0.14065855   0.00000000   0.00000000   0.01049039  -0.00121636  -2.31844567  18.95751695   0.13960542
 "PR.BHS000047.CORR3"    16.00368327  -0.00000000   0.00000000   4.74011682  -0.46478877   2.38010045  17.48523555   0.14065855   0.00000000   0.00000000   0.01049039  -0.00121636  -2.31844567  18.95751695   0.13960542
 "PR.BHS000047.J2"       16.00618327  -0.00000000   0.00000000   4.73895485  -0.46478877   2.37914752  17.47333744   0.14068131   0.00000000   0.00000000   0.01048735  -0.00121636  -2.31928639  18.96911128   0.13962640
 "PR.BHS000047.MPDE1"    16.00618327  -0.00000000   0.00000000   4.73895485  -0.47642281   2.42204421  17.47333744   0.14068131   0.00000000   0.00000000   0.01048735  -0.00119061  -2.36585518  18.96911128   0.13962640
 "PR.BHS000047.DEXDD1"   17.10858327  -0.00000000  -0.00000000   4.38653798  -0.16672482   1.13932010  13.63778587   0.15219233   0.00000000   0.00000000   0.00881838  -0.00181925  -1.23116592  23.03156932   0.14792478
 "PR.BHS000047.CORR4"    17.10858327  -0.00000000  -0.00000000   4.38653798  -0.16672482   1.13932010  13.63778587   0.15219233   0.00000000   0.00000000   0.00881838  -0.00181925  -1.23116592  23.03156932   0.14792478
 "PR.BHS000047.MPDM"     17.10858327  -0.00000000  -0.00000000   4.38653798  -0.16672482   1.13932010  13.63778587   0.15219233   0.00000000   0.00000000   0.00881838  -0.00181925  -1.23116592  23.03156932   0.14792478
 "PR.BHS000047.DEXDD2"   18.21098327  -0.00000000  -0.00000000   4.36698738   0.13104571   0.18845355  12.20778773   0.16596908   0.00000000   0.00000000   0.00652382  -0.00231882   0.24669053  24.14343101   0.15527964
 "PR.BHS000047.CORR5"    18.21098327  -0.00000000  -0.00000000   4.36698738   0.13104571   0.18845355  12.20778773   0.16596908   0.00000000   0.00000000   0.00652382  -0.00231882   0.24669053  24.14343101   0.15527964
 "PR.BHS000047.MPDE2"    18.21098327  -0.00000000  -0.00000000   4.36698738   0.12032485   0.21842343  12.20778773   0.16596908   0.00000000   0.00000000   0.00652382  -0.00230280   0.18741889  24.14343101   0.15527964
 "PR.BHS000047.C2"       18.50955592  -0.00000000  -0.00000000   4.40291309   0.12032485   0.19279903  12.08500796   0.16988174   0.00000000   0.00000000   0.00583626  -0.00230280   0.17461788  24.03533673   0.15725232
 "PR.BHS000047$END"      18.50955592  -0.00000000  -0.00000000   4.40291309   0.12032485   0.19279903  12.08500796   0.16988174   0.00000000   0.00000000   0.00583626  -0.00230280   0.17461788  24.03533673   0.15725232
 "PS48$START"            18.50955592  -0.00000000  -0.00000000   4.40291309   0.12032485   0.19279903  12.08500796   0.16988174   0.00000000   0.00000000   0.00583626  -0.00230280   0.17461788  24.03533673   0.15725232
 "PR.VPI48"              18.50955592  -0.00000000  -0.00000000   4.40291309   0.12032485   0.19279903  12.08500796   0.16988174   0.00000000   0.00000000   0.00583626  -0.00230280   0.17461788  24.03533673   0.15725232
 "PI.MSG48"              18.50955592  -0.00000000  -0.00000000   4.40291309   0.12032485   0.19279903  12.08500796   0.16988174   0.00000000   0.00000000   0.00583626  -0.00230280   0.17461788  24.03533673   0.15725232
 "PR.TDU48"              19.50955592  -0.00000000  -0.00000000   4.52323794   0.12032485   0.10697604  11.78523288   0.18323345   0.00000000   0.00000000   0.00353346  -0.00230280   0.13174387  23.72897498   0.16391859
 "PR.QLSD48"             19.50955592  -0.00000000  -0.00000000   4.52323794   0.12032485   0.10697604  11.78523288   0.18323345   0.00000000   0.00000000   0.00353346  -0.00230280   0.13174387  23.72897498   0.16391859
 "PR.BHZ48"              19.50955592  -0.00000000  -0.00000000   4.52323794   0.12032485   0.10697604  11.78523288   0.18323345   0.00000000   0.00000000   0.00353346  -0.00230280   0.13174387  23.72897498   0.16391859
