* NAME                             S            X           PX        DISP1        DISP2       ALFA11       BETA11          MU1            Y           PY        DISP3        DISP4       ALFA22       BETA22          MU2 
$ %s                             %le          %le          %le          %le          %le          %le          %le          %le          %le          %le          %le          %le          %le          %le          %le 
 "DRIFT_26"              29.60840000   0.00000000   0.00000000  -0.13681874   0.04223638  -1.35736666  10.49095001   0.72350099   0.00000000   0.00000000   0.00981354   0.00292709  -3.26310494  32.32925443   0.14868765
 "STRAY5"                29.60840000   0.00000000   0.00000000  -0.13681874   0.04223575  -1.35742362  10.49095001   0.72350099   0.00000000   0.00000000   0.00981354   0.00292703  -3.26292939  32.32925443   0.14868765
 "DRIFT_26"              29.62940000   0.00000000   0.00000000  -0.13593179   0.04223575  -1.36311373  10.54808130   0.72381872   0.00000000   0.00000000   0.00987501   0.00292703  -3.27049470  32.46645634   0.14879081
 "STRAY6"                29.62940000   0.00000000   0.00000000  -0.13593179   0.04223503  -1.36318513  10.54808130   0.72381872   0.00000000   0.00000000   0.00987501   0.00292697  -3.27027492  32.46645634   0.14879081
 "DRIFT_26"              29.65040000   0.00000000   0.00000000  -0.13504485   0.04223503  -1.36887562  10.60545457   0.72413472   0.00000000   0.00000000   0.00993647   0.00292697  -3.27783930  32.60396674   0.14889354
 "STRAY7"                29.65040000   0.00000000   0.00000000  -0.13504485   0.04223422  -1.36896315  10.60545457   0.72413472   0.00000000   0.00000000   0.00993647   0.00292688  -3.27757022  32.60396674   0.14889354
 "DRIFT_26"              29.67140000   0.00000000   0.00000000  -0.13415793   0.04223422  -1.37465411  10.66307054   0.72444901   0.00000000   0.00000000   0.00999794   0.00292688  -3.28513347  32.74178351   0.14899583
 "STRAY8"                29.67140000   0.00000000   0.00000000  -0.13415793   0.04223332  -1.37475928  10.66307054   0.72444901   0.00000000   0.00000000   0.00999794   0.00292678  -3.28481055  32.74178351   0.14899583
 "DRIFT_26"              29.69240000   0.00000000   0.00000000  -0.13327104   0.04223332  -1.38045081  10.72092995   0.72476160   0.00000000   0.00000000   0.01005940   0.00292678  -3.29237244  32.87990436   0.14909770
 "STRAY9"                29.69240000   0.00000000   0.00000000  -0.13327104   0.04223232  -1.38057491  10.72092995   0.72476160   0.00000000   0.00000000   0.01005940   0.00292667  -3.29199183  32.87990436   0.14909770
 "DRIFT_26"              29.71340000   0.00000000   0.00000000  -0.13238416   0.04223232  -1.38626712  10.77903363   0.72507251   0.00000000   0.00000000   0.01012086   0.00292667  -3.29955211  33.01832678   0.14919913
 "STRAY10"               29.71340000   0.00000000   0.00000000  -0.13238416   0.04223123  -1.38641120  10.77903363   0.72507251   0.00000000   0.00000000   0.01012086   0.00292653  -3.29911076  33.01832678   0.14919913
 "DRIFT_26"              29.73440000   0.00000000   0.00000000  -0.13149730   0.04223123  -1.39210418  10.83738245   0.72538175   0.00000000   0.00000000   0.01018232   0.00292653  -3.30666920  33.15704816   0.14930015
 "STRAY11"               29.73440000   0.00000000   0.00000000  -0.13149730   0.04223004  -1.39226903  10.83738245   0.72538175   0.00000000   0.00000000   0.01018232   0.00292638  -3.30616485  33.15704816   0.14930015
 "DRIFT_26"              29.75540000   0.00000000   0.00000000  -0.13061047   0.04223004  -1.39796290  10.89597732   0.72568932   0.00000000   0.00000000   0.01024377   0.00292638  -3.31372117  33.29606576   0.14940074
 "STRAY12"               29.75540000   0.00000000   0.00000000  -0.13061047   0.04222875  -1.39814905  10.89597732   0.72568932   0.00000000   0.00000000   0.01024377   0.00292620  -3.31315233  33.29606576   0.14940074
 "DRIFT_26"              29.77640000   0.00000000   0.00000000  -0.12972367   0.04222875  -1.40384393  10.95481918   0.72599523   0.00000000   0.00000000   0.01030522   0.00292620  -3.32070627  33.43537679   0.14950091
 "STRAY13"               29.77640000   0.00000000   0.00000000  -0.12972367   0.04222738  -1.40405171  10.95481918   0.72599523   0.00000000   0.00000000   0.01030522   0.00292601  -3.32007209  33.43537679   0.14950091
 "DRIFT_26"              29.79740000   0.00000000   0.00000000  -0.12883689   0.04222738  -1.40974770  11.01390896   0.72629951   0.00000000   0.00000000   0.01036667   0.00292601  -3.32762339  33.57497840   0.14960066
 "STRAY14"               29.79740000   0.00000000   0.00000000  -0.12883689   0.04222593  -1.40997727  11.01390896   0.72629951   0.00000000   0.00000000   0.01036667   0.00292579  -3.32692357  33.57497840   0.14960066
 "DRIFT_26"              29.81840000   0.00000000   0.00000000  -0.12795015   0.04222593  -1.41567450  11.07324765   0.72660215   0.00000000   0.00000000   0.01042811   0.00292579  -3.33447195  33.71486771   0.14970000
 "STRAY15"               29.81840000   0.00000000   0.00000000  -0.12795015   0.04222440  -1.41592587  11.07324765   0.72660215   0.00000000   0.00000000   0.01042811   0.00292556  -3.33370659  33.71486771   0.14970000
 "DRIFT_26"              29.83940000   0.00000000   0.00000000  -0.12706343   0.04222440  -1.42162445  11.13283621   0.72690318   0.00000000   0.00000000   0.01048955   0.00292556  -3.34125180  33.85504183   0.14979893
 "STRAY16"               29.83940000   0.00000000   0.00000000  -0.12706343   0.04222280  -1.42189755  11.13283621   0.72690318   0.00000000   0.00000000   0.01048955   0.00292530  -3.34042129  33.85504183   0.14979893
 "DRIFT_26"              29.86040000   0.00000000   0.00000000  -0.12617676   0.04222280  -1.42759760  11.19267561   0.72720259   0.00000000   0.00000000   0.01055098   0.00292530  -3.34796305  33.99549790   0.14989744
 "STRAY17"               29.86040000   0.00000000   0.00000000  -0.12617676   0.04222113  -1.42789230  11.19267561   0.72720259   0.00000000   0.00000000   0.01055098   0.00292502  -3.34706794  33.99549790   0.14989744
 "DRIFT_26"              29.88140000   0.00000000   0.00000000  -0.12529011   0.04222113  -1.43359392  11.25276682   0.72750040   0.00000000   0.00000000   0.01061240   0.00292502  -3.35460600  34.13623306   0.14999556
 "STRAY18"               29.88140000   0.00000000   0.00000000  -0.12529011   0.04221941  -1.43391009  11.25276682   0.72750040   0.00000000   0.00000000   0.01061240   0.00292472  -3.35364690  34.13623306   0.14999556
 "DRIFT_26"              29.90240000   0.00000000   0.00000000  -0.12440350   0.04221941  -1.43961340  11.31311081   0.72779662   0.00000000   0.00000000   0.01067382   0.00292472  -3.36118100  34.27724444   0.15009326
 "STRAY19"               29.90240000   0.00000000   0.00000000  -0.12440350   0.04221764  -1.43995089  11.31311081   0.72779662   0.00000000   0.00000000   0.01067382   0.00292440  -3.36015845  34.27724444   0.15009326
 "DRIFT_26"              29.92340000   0.00000000   0.00000000  -0.12351693   0.04221764  -1.44565601  11.37370855   0.72809127   0.00000000   0.00000000   0.01073523   0.00292440  -3.36768834  34.41852922   0.15019057
 "STRAY20"               29.92340000   0.00000000   0.00000000  -0.12351693   0.04221582  -1.44601476  11.37370855   0.72809127   0.00000000   0.00000000   0.01073523   0.00292406  -3.36660272  34.41852922   0.15019057
 "DRIFT_27"              29.96620000   0.00000000   0.00000000  -0.12171010   0.04221582  -1.45764623  11.49798524   0.72868693   0.00000000   0.00000000   0.01086038   0.00292406  -3.38194027  34.70736686   0.15038766
 "STRAY21"               29.96620000   0.00000000   0.00000000  -0.12171010   0.04221207  -1.45842497  11.49798524   0.72868693   0.00000000   0.00000000   0.01086038   0.00292333  -3.37958959  34.70736686   0.15038766
 "DRIFT_28"              30.00890000   0.00000000   0.00000000  -0.11990764   0.04221207  -1.47003771  11.62303060   0.72927480   0.00000000   0.00000000   0.01098521   0.00292333  -3.39487175  34.99663636   0.15058265
 "STRAY22"               30.00890000   0.00000000   0.00000000  -0.11990764   0.04220817  -1.47090265  11.62303060   0.72927480   0.00000000   0.00000000   0.01098521   0.00292251  -3.39226744  34.99663636   0.15058265
 "DRIFT_27"              30.05170000   0.00000000   0.00000000  -0.11810113   0.04220817  -1.48255194  11.74943846   0.72985770   0.00000000   0.00000000   0.01111029   0.00292251  -3.40756377  35.28766914   0.15077649
 "STRAY23"               30.05170000   0.00000000   0.00000000  -0.11810113   0.04220413  -1.48350508  11.74943846   0.72985770   0.00000000   0.00000000   0.01111029   0.00292161  -3.40470116  35.28766914   0.15077649
 "DRIFT_27"              30.09450000   0.00000000   0.00000000  -0.11629479   0.04220413  -1.49516468  11.87692552   0.73043434   0.00000000   0.00000000   0.01123534   0.00292161  -3.41997384  35.57976523   0.15096873
 "STRAY24"               30.09450000   0.00000000   0.00000000  -0.11629479   0.04219996  -1.49620986  11.87692552   0.73043434   0.00000000   0.00000000   0.01123534   0.00292062  -3.41684278  35.57976523   0.15096873
 "DRIFT_28"              30.13720000   0.00000000   0.00000000  -0.11449286   0.04219996  -1.50785345  12.00519903   0.73100347   0.00000000   0.00000000   0.01136005   0.00292062  -3.43205408  35.87221312   0.15115896
 "STRAY25"               30.13720000   0.00000000   0.00000000  -0.11449286   0.04219564  -1.50899624  12.00519903   0.73100347   0.00000000   0.00000000   0.01136005   0.00291954  -3.42863937  35.87221312   0.15115896
 "DRIFT_27"              30.18000000   0.00000000   0.00000000  -0.11268688   0.04219564  -1.52067939  12.13486914   0.73156784   0.00000000   0.00000000   0.01148501   0.00291954  -3.44385834  36.16635603   0.15134808
 "STRAY26"               30.18000000   0.00000000   0.00000000  -0.11268688   0.04219117  -1.52192697  12.13486914   0.73156784   0.00000000   0.00000000   0.01148501   0.00291836  -3.44014013  36.16635603   0.15134808
 "DRIFT_28"              30.22270000   0.00000000   0.00000000  -0.11088532   0.04219117  -1.53359618  12.26533998   0.73212489   0.00000000   0.00000000   0.01160962   0.00291836  -3.45529332  36.46079103   0.15153522
 "STRAY27"               30.22270000   0.00000000   0.00000000  -0.11088532   0.04218654  -1.53495706  12.26533998   0.73212489   0.00000000   0.00000000   0.01160962   0.00291707  -3.45124787  36.46079103   0.15153522
 "DRIFT_27"              30.26550000   0.00000000   0.00000000  -0.10907974   0.04218654  -1.54666818  12.39723354   0.73267730   0.00000000   0.00000000   0.01173447   0.00291707  -3.46640375  36.75686652   0.15172130
 "STRAY28"               30.26550000   0.00000000   0.00000000  -0.10907974   0.04218174  -1.54815224  12.39723354   0.73267730   0.00000000   0.00000000   0.01173447   0.00291567  -3.46200360  36.75686652   0.15172130
 "DRIFT_28"              30.30820000   0.00000000   0.00000000  -0.10727858   0.04218174  -1.55985181  12.52994532   0.73322257   0.00000000   0.00000000   0.01185897   0.00291567  -3.47708866  37.05316576   0.15190544
 "STRAY29"               30.30820000   0.00000000   0.00000000  -0.10727858   0.04217677  -1.56147007  12.52994532   0.73322257   0.00000000   0.00000000   0.01185897   0.00291414  -3.47230321  37.05316576   0.15190544
 "DRIFT_27"              30.35100000   0.00000000   0.00000000  -0.10547341   0.04217677  -1.57321429  12.66410981   0.73376333   0.00000000   0.00000000   0.01198369   0.00291414  -3.48738519  37.35104043   0.15208855
 "STRAY30"               30.35100000   0.00000000   0.00000000  -0.10547341   0.04217162  -1.57497897  12.66410981   0.73376333   0.00000000   0.00000000   0.01198369   0.00291247  -3.48218050  37.35104043   0.15208855
 "DRIFT_28"              30.39370000   0.00000000   0.00000000  -0.10367268   0.04217162  -1.58671449  12.79911412   0.73429712   0.00000000   0.00000000   0.01210806   0.00291247  -3.49718576  37.64905937   0.15226977
 "STRAY31"               30.39370000   0.00000000   0.00000000  -0.10367268   0.04216629  -1.58863898  12.79911412   0.73429712   0.00000000   0.00000000   0.01210806   0.00291064  -3.49152480  37.64905937   0.15226977
 "DRIFT_28"              30.43640000   0.00000000   0.00000000  -0.10187218   0.04216629  -1.60039489  12.93528586   0.73482529   0.00000000   0.00000000   0.01223234   0.00291064  -3.50648519  37.94787439   0.15244957
 "STRAY32"               30.43640000   0.00000000   0.00000000  -0.10187218   0.04216080  -1.60248501  12.93528586   0.73482529   0.00000000   0.00000000   0.01223234   0.00290867  -3.50035346  37.94787439   0.15244957
 "DRIFT_27"              30.47920000   0.00000000   0.00000000  -0.10006770   0.04216080  -1.61429059  13.07296386   0.73534912   0.00000000   0.00000000   0.01235683   0.00290867  -3.51530044  38.24814438   0.15262837
 "STRAY33"               30.47920000   0.00000000   0.00000000  -0.10006770   0.04215516  -1.61656062  13.07296386   0.73534912   0.00000000   0.00000000   0.01235683   0.00290652  -3.50865893  38.24814438   0.15262837
 "DRIFT_28"              30.52190000   0.00000000   0.00000000  -0.09826767   0.04215516  -1.62836257  13.21152208   0.73586623   0.00000000   0.00000000   0.01248094   0.00290652  -3.52351890  38.54841837   0.15280535
 "STRAY34"               30.52190000   0.00000000   0.00000000  -0.09826767   0.04214940  -1.63082774  13.21152208   0.73586623   0.00000000   0.00000000   0.01248094   0.00290419  -3.51632606  38.54841837   0.15280535
